English & Pinyin,Chinese
Responsible / Fùzé rén,负责人
Kind / Yǒuhão de,友好的
Humble / Qiānxùn,谦逊
This type of person / Zhè zhǒng rén,这种人
Attractive / Yĩn rén zhù dé,引人注意
Social skills / Shèjiāo néngli,社交能力
Shy / Hàixiū,害羞
Personality / Gèxìng,个性
Brave / Yǒnggǎn,勇敢
Shy / Hàixiū,害羞
Make friends / Jião péngyǒu,交朋友
Character in a novel / Rénwù,人物
Kind / Shànliáng,善良
Kind hearted / Xīndì liáng liáng,心地善良
Continental Monsoon Climate / Dàlù jìfēng xìng qìhòu,大陆季风性气候
Population / Rénkõu,人口
Per capita / Rénjūn,人均
Kind/type/category / Zhonglèi,种类
Humanity / Rénlèi,人类
Join / Jiā rén,加人
Happy / Gāoxìng,高兴
Social custom / Fēngsú,风俗
Every family / Qiānjiā wàn hù,千家万户
Private / Sīrén,私人
Characteristic / Tèzhēng,特征
