English & Pinyin,Chinese
Northern china / Běibù,北部
Historical site / Gůjī,古迹
Travel / Lũyóu,旅游
Scenic spots / jingdiăn,景点
Tianmen Square / tiān'ānmén,天安门
Square / guăngchăng,广场
Street name / Wide / cháng'ān jiē kuān de,长安街 宽的
Avenue / dàjiē,大街
Summer palace / Yíhéyuán,颐和园
Temple of heaven / Tiāntán,天坛
Tourist / Yóukè,游客
Emperor / huángdì,皇帝
Area / Dìqū,地区
Pride / Jião'ào,骄傲
The Grand Canyon / Dà xiágũ,大峽谷
Mexico / Mòxīgē,墨西哥
Mature / Chéngshú,成熟
Vacation / Jiàqī,假期
What city are you from? / Nǐ shì cóng năge chéngshì lái de?,你是从哪个城市来的?
Vacation plan / Lũxíng jìhuà,旅行计划
Ride (bike) / Qi,骑
Taiwan / Táiwān,台湾
Taipei / Táiběi,台北
To become / Chéng,成
California / Jiāzhōu,加州
Journey to the west / Xīyó jì,西游记
Western paradise / Xītiān,西天
Kind hearted / Xīndì liáng liáng,心地善良
Plan / Dăsuàn,打算
Electricity and Magnetism / Diàn hé cíxìng,电和磁性
Chinatown / Zhōngguó chéng,中国城
Terrain / Dìshì,地势
Coastal areas / Yánhăi dìqū,沿海地区
Cause / Pollution / Zàochéng / Huánjìng wūrăn,造成 / 环境污染
City / Shili,市立
Area / Lĩngyù,领域
Region / Diqū,地区
The next day / Dì èr tiān,第二天
Hope for success / Qiú chéng,求成
Texture / Zhídì,质地
