English & Pinyin,Chinese
Receive / Shōu dào,收到
Prepared / Zhũn bèi,准备
Answer/Reply / Huí dá,回答
Note/Pay attention to / Zhù yì,注意
Goes well / shùnlì de,顺利的
Smile / Wéixiào,微笑
Suitable / Héshì,合适
Opportunity / Jīhuì,机会
Develop / Fāzhăn,发展
Communicate / Jiāoliú,交流
Through / Tōngguò,通过
About / Guānyú,关于
Northern china / Běibù,北部
Focus / jízhōng,集中
Represent / dàibião,代表
Entire life / yībèizi,一辈子
Symbol / Xiàngzhēng,象征
Additionally / lingwài,另外
Total / yīgòng,一共
Room / fángjiān,房间
Build / jiànzào,建造
Was built / jiànle,建了
Emperor / huángdì,皇帝
Building / jiànzhú,建筑
Expensive / Zhēngui,珍贵
Relic / wénwù,文物
Politics / Zhèngzhì,政治
To be placed / Běn xíng,苯行
Opening ceremony / Jĩng mù shì,井幕式
Extremely / Jíqí,极其
Grand / Shèngdà,盛大
Area / Dìqū,地区
Gather / Tuánjù,团聚
Picture / Huàjuàn,画卷
Express / Biǎoxiàn,表现
Origin / Qiyuán,起源
Connect / Liánjiē,连接
Pride / Jião'ào,骄傲
The Grand Canyon / Dà xiágũ,大峽谷
Mexico / Mòxīgē,墨西哥
Break / Jiàqī,假期
Very / Ting,挺
Relaxed / qīngsōng,轻松
Another / Ling,另
Experience / Jīngyàn,经验
Just / Zhǐshì,只是
Different / Bùtóng,不同
Horse riding / qímă,骑马
Great / Bàng jí,棒极
Bored / Wúliáo,无聊
Fishing / Diàoyú,钓鱼
Not only...but also / Bùdàn... You,不但。。。又
If not...then... / bùshì...Jiù,不是。。。就
Summer break / Shujià,暑假
Vacation / Jiàqī,假期
Counselor / Fŭdǎo yuán,辅导员
Others / Qítā,其他
To take care of / Zhàogù,照顾
Furthermore / Érqiě,而且
Grow up / Zhăng dà,长大
Essential / Gēnběn,根本
To run into / Pèng dào,碰到
Continuously / Yīzhí,一直
Waiter/waitress / Fúwù shēng,服务生
Tip / Xiǎofèi,小费
Save money / Cún qián,存钱
Deliver newspapers / Song bàozhĩ,送报纸
Babysitter / Bǎomů,保姆
Volunteer / Yīgòng,一共
Lifeguard / Jiùshēng yuán,救生员
Moon / Yuèliàng,月亮
Circle / Yuán,元
Moon cake / Yuèbing,月饼
Appreciate / Shăng,赏
Represent / Dàibião,代表
Reunion / Tuányuán,团圆
Mention / Tíqi,提起
To run / Bēn,奔
Curious / Hàoqí,好奇
Steal / Tōu,偷
Miss someone / Sīniàn,思念
Describes action / Dé,Verb+得+adj.
Except that / Zhǐshì,phrase 只是
No longer / Bù zài,不再
