English & Pinyin,Chinese
Room / fángjiān,房间
Expensive / Zhēngui,珍贵
Great / Bàng jí,棒极
Cheap / Piányí,便宜
Salty / Xián,咸
Sweet / Tián,甜
Sour / Suān,酸
Blood type / Xiěxíng,血型
Clinic waiting room / Hòuzhěn shì,候诊室
Clinic / Zhěnsuǒ,诊所
Clean up / Qīngli,清理
McDonalds / Màidāngláo,麦当劳
Gift / Līwù,礼物
Wear glasses / Dài yǎnjìng,戴眼镜
Gluttonous/lazy / Hàochīlănzuò,好吃懒做
Eat healthy / Chĩ dé gèng jiànkāng,吃得更健康
Natural resource / Zìrán zīyuán,自然资源
Mineral resources / Kuàngchăn zīyuán,矿产资源
Natural resource / Zīyuán,资源
Cultural recreation / Wényú,文娱
Fly a kite / Fángfēng,防风
