English & Pinyin,Chinese
Responsible / Fùzé rén,负责人
Kind / Yǒuhão de,友好的
Humble / Qiānxùn,谦逊
This type of person / Zhè zhǒng rén,这种人
Attractive / Yĩn rén zhù dé,引人注意
Waiter/waitress / Fúwù shēng,服务生
Babysitter / Bǎomů,保姆
Lifeguard / Jiùshēng yuán,救生员
Social skills / Shèjiāo néngli,社交能力
Shy / Hàixiū,害羞
Personality / Gèxìng,个性
Brave / Yǒnggǎn,勇敢
Shy / Hàixiū,害羞
Make friends / Jião péngyǒu,交朋友
Romantic love / Àiqíng,爱情
Character in a novel / Rénwù,人物
Kind / Shànliáng,善良
Most / Dà bùfèn,大部分
Continental Monsoon Climate / Dàlù jìfēng xìng qìhòu,大陆季风性气候
Average / Fèn píngjūn,份平均
Population / Rénkõu,人口
Per capita / Rénjūn,人均
Kind/type/category / Zhonglèi,种类
Humanity / Rénlèi,人类
Produce / Shēngchăn,生产
Join / Jiā rén,加人
Excited / Xīngfèn,兴奋
Happy / Gāoxìng,高兴
Angry / Shēngqì,生气
Spring autumn / Come about / Chūnqiū zhànguó / Chănshēng,春秋战国 / 产生
Social custom / Fēngsú,风俗
Every family / Qiānjiā wàn hù,千家万户
Private / Sīrén,私人
Waist / Yāoshēn,腰身
Stature/build / Shēncái,身材
Collar / Fits body / Lingzi / Yī shēn,领子 / 衣身
Adequate / Chōngfèn,充分
Characteristic / Tèzhēng,特征
Receive measure / Shēn shòu,深受
