English & Pinyin,Chinese
Receive / Shōu dào,收到
Goes well / shùnlì de,顺利的
Suitable / Héshì,合适
Opportunity / Jīhuì,机会
Develop / Fāzhăn,发展
Communicate / Jiāoliú,交流
Through / Tōngguò,通过
About / Guānyú,关于
Focus / jízhōng,集中
Represent / dàibião,代表
Entire life / yībèizi,一辈子
Additionally / lingwài,另外
Build / jiànzào,建造
Was built / jiànle,建了
Building / jiànzhú,建筑
To be placed / Běn xíng,苯行
Opening ceremony / Jĩng mù shì,井幕式
Extremely / Jíqí,极其
Grand / Shèngdà,盛大
Gather / Tuánjù,团聚
Picture / Huàjuàn,画卷
Express / Biǎoxiàn,表现
Connect / Liánjiē,连接
Break / Jiàqī,假期
Very / Ting,挺
Another / Ling,另
Just / Zhǐshì,只是
Different / Bùtóng,不同
Not only...but also / Bùdàn... You,不但。。。又
If not...then... / bùshì...Jiù,不是。。。就
Summer break / Shujià,暑假
Mountain climbing / Páshān,爬山
Rock climbing / Pānyán,攀岩
Others / Qítā,其他
To take care of / Zhàogù,照顾
Furthermore / Érqiě,而且
Grow up / Zhăng dà,长大
Essential / Gēnběn,根本
To run into / Pèng dào,碰到
Tip / Xiǎofèi,小费
Deliver newspapers / Song bàozhĩ,送报纸
Circle / Yuán,元
Appreciate / Shăng,赏
Represent / Dàibião,代表
To run / Bēn,奔
Steal / Tōu,偷
Miss someone / Sīniàn,思念
Describes action / Dé,Verb+得+adj.
Except that / Zhǐshì,phrase 只是
No longer / Bù zài,不再
Simply not / Gēnběn bù/méi,根本不/没
Very / Ting,挺
Weird / Qíguài,奇怪
Try / Chángshì,尝试
Different / Bùtóng,不同
Openness / Kāikuò,开阔
Outlook / Yǎnjiè,眼界
Rule / Guīzé,规则
Rope / Shéngzi,绳子
Winner / Pěng / guànjūn,捧场 / 冠军
Next to / Pángbiān,旁边
Or / Huòzhě,或者
Pretty / Piàoliang,漂亮
Win / Luo,贏
Design / Shėji,设计
But / Even though / Bié kàn...... Kěshì,别看。。。可是
But / Què,却
M.W. for clothing / Jiàn,件
Trouble / Máfan,麻烦
Casual / Suíbiàn,随便
Send / Fāle,发了
Situation / Qingkuàng,情况
Luggage / Xiāngzi,箱子
Not really / Bing,并+Neg
Scenic view / Jingsè,景色
Unlucky / Dǎoméi,倒霉
Passive voice / Bèi,被
Appearance / Wàibião,外表
Humorous / Yōumò,幽默
Easygoing / Suíhe,随和
Straightforward / Zhí,直
Open / Kāifàng,开放
Cool (in looks) / Kù,酷
Introverted / Nèixiàng,内向
Rebellious / Pànni,叛逆
Short / Ai,矮
Curly hair / Juănfă,卷发
Quiet / Wénjìng,文静
Extroverted / Wàixiàng,外向
Have common interests / Therefore / Zhitóngdàohé / Yīnci,志同道合 / 因此
In an instant / Zhuănyǎn jiān,转眼间
Secret / Mìmì,秘密
Handsome / Shuài,帅
Capable / Nénggàn,能干
Get along well / able to talk to / Tán dé lái,谈得来
To waste / Làngfèi,浪费
To understand / Liǎojiě,了解
To take seriously / Rènzhēn,认真
Otherwise / Bùrán,不然
To let / allow / Ideal / Ràng / Lixiăng,让 / 理想
Capability / Néngli,能力
Media / Méiti,媒体
Panda / Mãoxióng,猫熊
Actor / Yănyuán,演员
