English & Pinyin,Chinese
Historical site / Gůjī,古迹
Travel / Lũyóu,旅游
Scenic spots / jingdiăn,景点
Tianmen Square / tiān'ānmén,天安门
Square / guăngchăng,广场
Street name / Wide / cháng'ān jiē kuān de,长安街 宽的
Avenue / dàjiē,大街
Summer palace / Yíhéyuán,颐和园
Temple of heaven / Tiāntán,天坛
Tourist / Yóukè,游客
Mature / Chéngshú,成熟
What city are you from? / Nǐ shì cóng năge chéngshì lái de?,你是从哪个城市来的?
To become / Chéng,成
Electricity and Magnetism / Diàn hé cíxìng,电和磁性
Chinatown / Zhōngguó chéng,中国城
Cause / Pollution / Zàochéng / Huánjìng wūrăn,造成 / 环境污染
City / Shili,市立
Region / Diqū,地区
Hope for success / Qiú chéng,求成
