English & Pinyin,Chinese
Apply / Jiǎ qǐng,甲请
Receive / Shōu dào,收到
E-mail / Diàn yóu,电邮
Weekend / Zhōu mò,周末
Prepared / Zhũn bèi,准备
Answer/Reply / Huí dá,回答
Note/Pay attention to / Zhù yì,注意
Responsible / Fùzé rén,负责人
Goes well / shùnlì de,顺利的
Department store / Băihuò shāngdiàn,百货商店
Kind / Yǒuhão de,友好的
Humble / Qiānxùn,谦逊
Smile / Wéixiào,微笑
Be on time / Yào zhǔnshí Bùyào chídào,要准时 不要迟到
This type of person / Zhè zhǒng rén,这种人
Wish / Zhù nǐ,祝你
Suitable / Héshì,合适
For example / Birú,比如
Previously / Céng jìng,曾迳
Congratulations / Gōngxǐ,恭喜
Impression / Yinxiàng,印象
Opportunity / Jīhuì,机会
Business / Shāngyè,商业
Interesting / Qù,趣
Economics / Jīngji,经济
Develop / Fāzhăn,发展
Communicate / Jiāoliú,交流
Review the old to understand the new / Wēngù ér zhī xīn,温故而知新
Through / Tōngguò,通过
About / Guānyú,关于
Knowledge / Zhīshì,知识
Northern china / Běibù,北部
Historical site / Gůjī,古迹
Travel / Lũyóu,旅游
Scenic spots / jingdiăn,景点
Focus / jízhōng,集中
Represent / dàibião,代表
Entire life / yībèizi,一辈子
Play it / wán tā,玩它
Tianmen Square / tiān'ānmén,天安门
Square / guăngchăng,广场
Symbol / Xiàngzhēng,象征
Street name / Wide / cháng'ān jiē kuān de,长安街 宽的
Avenue / dàjiē,大街
Additionally / lingwài,另外
Summer palace / Yíhéyuán,颐和园
Temple of heaven / Tiāntán,天坛
Forbidden city / gùgōng,故宫
Total / yīgòng,一共
Room / fángjiān,房间
Tourist / Yóukè,游客
Build / jiànzào,建造
Was built / jiànle,建了
Emperor / huángdì,皇帝
Building / jiànzhú,建筑
Tradition / chuántăng,传统
Expensive / Zhēngui,珍贵
Relic / wénwù,文物
Politics / Zhèngzhì,政治
Ninth summer Olympics / Jiŭ jiè xià àolínpīkè,九届夏奥林匹克
To be placed / Běn xíng,苯行
Camping / Lùyíng,露营
Opening ceremony / Jĩng mù shì,井幕式
Extremely / Jíqí,极其
Grand / Shèngdà,盛大
Area / Dìqū,地区
Five ring Olympic flag / Àoyùn wũ qí,奥运五环旗
Gather / Tuánjù,团聚
Attractive / Yĩn rén zhù dé,引人注意
Picture / Huàjuàn,画卷
Express / Biǎoxiàn,表现
Origin / Qiyuán,起源
One world one dream / Tóng yīgè shìjiè tóng yīgè mèngxiăng,同一个世界同一个梦想
Connect / Liánjiē,连接
Pride / Jião'ào,骄傲
Happy / Kāixīn,开心
Example / lizi,例子
The Grand Canyon / Dà xiágũ,大峽谷
Mexico / Mòxīgē,墨西哥
Break / Jiàqī,假期
Very / Ting,挺
Relaxed / qīngsōng,轻松
Another / Ling,另
Tennis / Da wăngqiú,打网球
Summer camp counselor / Xiàlingyíng dâng fŭdǎo yuán,夏令营当辅导员
Day / rizi,日子
Productive / Chōngshí,充实
Earn some money / Zhuàn diǎn er qián,赚点儿钱
Experience / Jīngyàn,经验
Just / Zhǐshì,只是
Different / Bùtóng,不同
Activity / Huódòng,活動
Participate / Cānjiā,參加
Baseball / bàngqiú duì,棒球队
Horse riding / qímă,骑马
Great / Bàng jí,棒极
Bored / Wúliáo,无聊
Tutoring / buxí,补习
Internet / shàng wăng,上网
Mature / Chéngshú,成熟
