English & Pinyin,Chinese
For example / Birú,比如
Example / lizi,例子
Tutoring / buxí,补习
Apply to colleges / shēnqing,申请
Campus / Xiàoyuán,校园
College entrance exam / Gãokão,高考
Biology / Shēngwù,生物
Chemistry / Huàxué,化学
Subject / Kēmù,科目
Sciences / Likē,理科
Humanities / Wénkē,文科
Pass entrance exam / Kǎo shàng,考上
Credit / Xuéfēn,学分
Go / School clubs / Wéiqí / Shètuán,围棋 / 社团
Yearbook / Jiniàncè,纪念册
Extracurricular activities / Kèwài huódòng,课外活动
Required courses / Bìxiū kè,必修课
Elective courses / Xuǎnxiū kē,选修科
Physics / Wuli,物理
Schoolwork / Kèyè,课业
Organic Chemistry / Yǒujī huàxué,有机化学
Degrees Celsius / Shèshìdù,摄氏度
Course of events / Guòchéng,过程
College / Shūyuàn,书院
