English & Pinyin,Chinese
Wish / Zhù nǐ,祝你
Impression / Yinxiàng,印象
Interesting / Qù,趣
Review the old to understand the new / Wēngù ér zhī xīn,温故而知新
One world one dream / Tóng yīgè shìjiè tóng yīgè mèngxiăng,同一个世界同一个梦想
Happy / Kāixīn,开心
Feel the same / Ràng wéi,让为
Hard / tough / Xīnků,辛苦
Worry / Zhāojí,着急
Concern / Guānxīn,关心
Happy/optimistic / Kāilăng,开朗
Careful/meticulous / Xìxīn,细心
To concentrate on / Zhuānxīn,专心
Breakup / To be sad / Fēnshǒu / Shāngxīn,分手 / 伤心
Pressure / Yāli,压力
Celebrity / Mingxīng,明星
A feeling for justice / Zhèngyì găn,正义感
Feeling/impression / gǎnjué,给人+ adj。+的感觉
Interesting / fun / Yõuqù,有趣
To lay equal stress on / Bìngzhòng,并重
Opinion / Kànfǎ,看法
Excited / Xīngfèn,兴奋
Angry / Shēngqì,生气
Worried / Dānxīn,担心
Irritated / Xīnfán,心烦
Desires / Kěwàng,渴望
Nervous / Jinzhāng,紧张
Opinions differ / Zhongshuōfēnyún,众说纷纭
Fun/interesting / Qùwèi,趣味
Patient / Nàixīn,耐心
Follow one's heart / Suíxīnsuǒyù,随心所欲
New earth / Cover up / Xīn tù / Péi,新土 / 培
