English & Pinyin,Chinese
E-mail / Diàn yóu,电邮
Play it / wán tā,玩它
Ninth summer Olympics / Jiŭ jiè xià àolínpīkè,九届夏奥林匹克
Five ring Olympic flag / Àoyùn wũ qí,奥运五环旗
Tennis / Da wăngqiú,打网球
Activity / Huódòng,活動
Participate / Cānjiā,參加
Baseball / bàngqiú duì,棒球队
Internet / shàng wăng,上网
Swimming pool / Yóuyongchí,游泳池
Due to / Yóuyú,由于
Self-confident / Zìxìn,自信
Smart / Côngmíng,聪明
On the internet / Zài wăngshàng,在网上
Email / Diànzĩ yóujiàn,电子邮件
Because / Yóuyú,由于
Art / Yishù,艺术
Band / Yuèduì,乐队
Chorus / Héchàng,合唱
Cheer on / Jiāyóu,加油
Fiction to Film / Xiǎoshuō diànying,小说电影
Martial arts / Wŭshù,武术
Oil / petroleum / Shíyóu,石油
Play / Huàjù,话剧
Origin / Yóulái,由来
System / Tixì,体系
Articles / Wùpin,物品
Martyr / Lièshì,烈士
